epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2784.26,0.87034,1.03472,1.18678,0.93997,0.93906,0.97339,0.73946,0.91181,0.64412,1.23261,0.00017296,0.00017296,0.00017296
43,2850.55,0.89568,1.03628,1.20038,0.9401,0.93488,0.97163,0.73039,0.93898,0.64472,1.25756,0.000171886,0.000171886,0.000171886
44,2916.76,0.89118,1.02491,1.18986,0.92884,0.94857,0.9686,0.74143,0.90134,0.63168,1.22598,0.000170812,0.000170812,0.000170812
45,2983.02,0.86825,0.9979,1.18525,0.93433,0.94826,0.97119,0.74064,0.90928,0.61765,1.23206,0.000169737,0.000169737,0.000169737
46,3050.55,0.87239,1.01405,1.18563,0.93309,0.95573,0.97188,0.73802,0.93504,0.63169,1.25221,0.000168663,0.000168663,0.000168663
47,3116.87,0.86311,0.98306,1.18117,0.94318,0.94996,0.9731,0.75412,0.89536,0.62069,1.21803,0.000167589,0.000167589,0.000167589
48,3183.7,0.86475,0.96991,1.18294,0.95141,0.94783,0.97456,0.74501,0.90382,0.60673,1.22323,0.000166515,0.000166515,0.000166515
49,3250.7,0.84466,0.94613,1.16616,0.94728,0.95819,0.9746,0.75256,0.88664,0.596,1.21703,0.000165441,0.000165441,0.000165441
50,3318.2,0.84159,0.94643,1.16792,0.94174,0.94502,0.97438,0.73905,0.91719,0.60804,1.22525,0.000164367,0.000164367,0.000164367
51,3385.05,0.85741,0.94661,1.16926,0.94776,0.94637,0.97395,0.7435,0.90555,0.6073,1.22054,0.000163292,0.000163292,0.000163292
52,3451.6,0.8582,0.97092,1.17629,0.95265,0.96047,0.97453,0.74722,0.89934,0.57926,1.21445,0.000162218,0.000162218,0.000162218
53,3517.53,0.84003,0.95006,1.16811,0.95211,0.9577,0.97628,0.75319,0.886,0.57965,1.21112,0.000161144,0.000161144,0.000161144
54,3583.14,0.84563,0.93931,1.16195,0.95496,0.95437,0.97662,0.75614,0.88588,0.57552,1.20346,0.00016007,0.00016007,0.00016007
55,3648.67,0.8463,0.92427,1.1691,0.95403,0.9571,0.97906,0.75456,0.89334,0.5738,1.20718,0.000158996,0.000158996,0.000158996
56,3714.33,0.83194,0.91473,1.15141,0.95381,0.95777,0.97769,0.75045,0.89908,0.57942,1.21041,0.000157922,0.000157922,0.000157922
57,3779.36,0.83754,0.90929,1.15584,0.96424,0.95549,0.97816,0.75479,0.8913,0.56176,1.20849,0.000156848,0.000156848,0.000156848
58,3844.33,0.82796,0.9037,1.16013,0.95416,0.9565,0.97592,0.7524,0.89786,0.57696,1.21306,0.000155773,0.000155773,0.000155773
59,3909.44,0.83122,0.90276,1.14572,0.94204,0.94838,0.97512,0.74576,0.89887,0.57576,1.20819,0.000154699,0.000154699,0.000154699
60,3974.79,0.83233,0.87657,1.15176,0.93154,0.96318,0.97448,0.75186,0.89256,0.56546,1.21646,0.000153625,0.000153625,0.000153625
61,4039.87,0.81704,0.85817,1.14224,0.95562,0.95036,0.97472,0.75206,0.89667,0.5739,1.21653,0.000152551,0.000152551,0.000152551
62,4104.9,0.82929,0.87702,1.14545,0.95226,0.95922,0.97702,0.75553,0.89707,0.54969,1.21021,0.000151477,0.000151477,0.000151477
63,4170.07,0.80896,0.84948,1.13654,0.95647,0.95715,0.97726,0.74643,0.90099,0.55882,1.21546,0.000150403,0.000150403,0.000150403
64,4235.16,0.82891,0.87275,1.15582,0.94019,0.96936,0.97742,0.75244,0.90025,0.54822,1.22344,0.000149329,0.000149329,0.000149329
65,4301.39,0.81315,0.85061,1.15132,0.95978,0.95185,0.97614,0.75221,0.90305,0.55852,1.2159,0.000148254,0.000148254,0.000148254
66,4368.16,0.83623,0.86296,1.15522,0.95767,0.95557,0.97761,0.75278,0.89954,0.55735,1.21291,0.00014718,0.00014718,0.00014718
67,4434.42,0.81352,0.85121,1.15047,0.95013,0.96571,0.97894,0.75803,0.89267,0.54605,1.20979,0.000146106,0.000146106,0.000146106
68,4500.89,0.79739,0.83726,1.1332,0.95862,0.9628,0.97782,0.75456,0.89312,0.54563,1.20614,0.000145032,0.000145032,0.000145032
69,4567.87,0.80656,0.83442,1.13918,0.96099,0.95258,0.97791,0.75607,0.8871,0.53644,1.20293,0.000143958,0.000143958,0.000143958
70,4633.47,0.80957,0.81574,1.13571,0.94574,0.97231,0.97692,0.76,0.8811,0.53476,1.19908,0.000142884,0.000142884,0.000142884
71,4699.55,0.79452,0.81664,1.12873,0.96055,0.95724,0.97984,0.76682,0.8849,0.5261,1.20829,0.000141809,0.000141809,0.000141809
72,4765.91,0.79999,0.81452,1.13374,0.95459,0.96219,0.97785,0.76203,0.88237,0.51966,1.19819,0.000140735,0.000140735,0.000140735
73,4831.88,0.79612,0.82614,1.13617,0.95642,0.95908,0.97788,0.75812,0.8781,0.5299,1.19117,0.000139661,0.000139661,0.000139661
74,4897.91,0.79934,0.83884,1.1424,0.95863,0.97084,0.98094,0.75994,0.88821,0.51925,1.21093,0.000138587,0.000138587,0.000138587
75,4964.15,0.80424,0.83181,1.14356,0.95302,0.9665,0.97785,0.75777,0.89122,0.5335,1.21459,0.000137513,0.000137513,0.000137513
76,5030.04,0.78663,0.79273,1.12463,0.95866,0.95909,0.97788,0.7623,0.88064,0.51991,1.20286,0.000136439,0.000136439,0.000136439
77,5096.04,0.79826,0.80241,1.13502,0.96584,0.95042,0.97865,0.7564,0.90173,0.5296,1.21271,0.000135365,0.000135365,0.000135365
78,5161.76,0.78661,0.81358,1.12622,0.95321,0.9629,0.97639,0.76121,0.87197,0.52403,1.18909,0.00013429,0.00013429,0.00013429
79,5227.93,0.78346,0.78818,1.12749,0.95337,0.9534,0.97698,0.75869,0.90231,0.53583,1.22113,0.000133216,0.000133216,0.000133216
80,5294.63,0.77852,0.7764,1.13291,0.96047,0.96032,0.97915,0.75955,0.88272,0.51966,1.20252,0.000132142,0.000132142,0.000132142
81,5360.32,0.77822,0.78688,1.12539,0.96062,0.9641,0.97936,0.76011,0.88984,0.51685,1.20862,0.000131068,0.000131068,0.000131068
82,5426.41,0.78489,0.78533,1.12893,0.9513,0.9691,0.97985,0.76187,0.88126,0.51465,1.19595,0.000129994,0.000129994,0.000129994
83,5492.53,0.77567,0.77432,1.12296,0.95285,0.96296,0.97871,0.76346,0.8809,0.52128,1.19056,0.00012892,0.00012892,0.00012892
84,5558.32,0.76794,0.76169,1.12416,0.95585,0.96647,0.97873,0.76018,0.88989,0.51073,1.207,0.000127846,0.000127846,0.000127846
85,5624.07,0.76791,0.75487,1.11667,0.94413,0.96487,0.97707,0.76217,0.87222,0.51137,1.19455,0.000126771,0.000126771,0.000126771
86,5689.89,0.77787,0.77789,1.1256,0.96249,0.9618,0.97892,0.75524,0.88903,0.50704,1.20724,0.000125697,0.000125697,0.000125697
87,5755.72,0.76501,0.75943,1.11663,0.94882,0.97379,0.97822,0.76482,0.87944,0.50773,1.20299,0.000124623,0.000124623,0.000124623
88,5821.92,0.76094,0.77083,1.12013,0.95948,0.96251,0.97933,0.75892,0.88696,0.50239,1.20783,0.000123549,0.000123549,0.000123549
89,5887.97,0.75884,0.75167,1.11029,0.95922,0.96541,0.97674,0.75835,0.87962,0.51148,1.20053,0.000122475,0.000122475,0.000122475
90,5953.98,0.75615,0.73517,1.12078,0.96159,0.95842,0.9743,0.75816,0.87549,0.51027,1.20059,0.000121401,0.000121401,0.000121401
91,6020.18,0.74406,0.7236,1.10668,0.9588,0.96283,0.97552,0.7569,0.88438,0.50131,1.20557,0.000120326,0.000120326,0.000120326
92,6085.91,0.75427,0.73422,1.10823,0.96445,0.96269,0.97643,0.75647,0.87496,0.50396,1.19243,0.000119252,0.000119252,0.000119252
93,6152.36,0.76171,0.74367,1.11298,0.96459,0.97102,0.98048,0.75823,0.89186,0.49815,1.2082,0.000118178,0.000118178,0.000118178
94,6218.38,0.75299,0.74209,1.10889,0.9524,0.96765,0.97946,0.76016,0.88237,0.49679,1.20635,0.000117104,0.000117104,0.000117104
95,6283.89,0.74589,0.73495,1.10635,0.96749,0.96654,0.97994,0.76121,0.88062,0.49662,1.2019,0.00011603,0.00011603,0.00011603
96,6349.78,0.74456,0.71797,1.10573,0.96453,0.96191,0.98009,0.76412,0.87317,0.49405,1.19316,0.000114956,0.000114956,0.000114956
97,6415.95,0.74822,0.72053,1.11247,0.96227,0.9684,0.98023,0.76807,0.8752,0.48876,1.19518,0.000113882,0.000113882,0.000113882
98,6483.29,0.75075,0.71902,1.10945,0.96118,0.95856,0.97867,0.76313,0.87726,0.4889,1.19802,0.000112807,0.000112807,0.000112807
99,6550.03,0.74188,0.713,1.10415,0.96049,0.95966,0.97855,0.76638,0.87587,0.49384,1.20281,0.000111733,0.000111733,0.000111733
100,6616.8,0.73103,0.70238,1.09363,0.95673,0.96291,0.97637,0.76888,0.87232,0.48884,1.19851,0.000110659,0.000110659,0.000110659
101,6684.08,0.73926,0.7009,1.09964,0.96412,0.96848,0.9791,0.76123,0.8792,0.48791,1.20216,0.000109585,0.000109585,0.000109585
102,6751.4,0.73873,0.69946,1.09667,0.96148,0.96935,0.97822,0.76517,0.8753,0.48774,1.19955,0.000108511,0.000108511,0.000108511
103,6819.67,0.73675,0.71358,1.10309,0.96077,0.96743,0.97764,0.76131,0.87679,0.49439,1.20617,0.000107437,0.000107437,0.000107437
