epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,9510.1,0.81874,0.64606,1.06618,0.93296,0.92602,0.96732,0.7482,0.90107,0.56848,1.11379,4.46488e-05,4.46488e-05,4.46488e-05
41,9737.32,0.717,0.36512,1.0417,0.94834,0.92516,0.97314,0.75124,0.91841,0.553,1.12936,4.0768e-05,4.0768e-05,4.0768e-05
42,9964.36,0.7029,0.353,1.02912,0.93954,0.91309,0.9701,0.75155,0.90854,0.5521,1.12161,3.68872e-05,3.68872e-05,3.68872e-05
43,10193.2,0.68946,0.34304,1.02009,0.94115,0.9265,0.97194,0.75308,0.92031,0.54753,1.13557,3.30064e-05,3.30064e-05,3.30064e-05
44,10425.2,0.68473,0.33956,1.01969,0.93405,0.92923,0.96951,0.75014,0.91886,0.55031,1.139,2.91256e-05,2.91256e-05,2.91256e-05
45,10659.4,0.6766,0.3316,1.01594,0.94167,0.92777,0.97267,0.75529,0.90966,0.53596,1.13083,2.52448e-05,2.52448e-05,2.52448e-05
46,10891.4,0.66917,0.32858,1.01137,0.94572,0.92545,0.97091,0.75057,0.91245,0.53625,1.13212,2.1364e-05,2.1364e-05,2.1364e-05
47,11122.5,0.66153,0.3267,1.00841,0.93862,0.92759,0.97194,0.75155,0.90902,0.53839,1.12885,1.74832e-05,1.74832e-05,1.74832e-05
48,11353.2,0.65332,0.32012,1.00013,0.93732,0.92404,0.97058,0.75256,0.90673,0.54526,1.13052,1.36024e-05,1.36024e-05,1.36024e-05
49,11586.4,0.65033,0.31626,0.99904,0.94554,0.92412,0.97162,0.75432,0.90304,0.54756,1.12745,9.7216e-06,9.7216e-06,9.7216e-06
50,11820.5,0.64515,0.31667,0.99585,0.94326,0.93032,0.96963,0.75339,0.89979,0.546,1.12411,5.8408e-06,5.8408e-06,5.8408e-06
